Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing World Championship - Paris (FRA) 2012,3890,45,MATHIAS CONRAD,GER,3T7 4B9,,
IFSC Climbing World Championship - Paris (FRA) 2012,79,45,ALEKSEY RUBTSOV,RUS,2T5 5B13,,
IFSC Climbing World Championship - Paris (FRA) 2012,3779,47,BENJAMIN BLASER,SUI,3T7 3B5,,
IFSC Climbing World Championship - Paris (FRA) 2012,4775,47,REMO SOMMER,SUI,2T6 5B11,,
IFSC Climbing World Championship - Paris (FRA) 2012,3855,49,BJØRN ARNEL IISAGER,DEN,2T6 4B7,,
IFSC Climbing World Championship - Paris (FRA) 2012,4807,49,ONDREJ NEVELIK,CZE,3T9 4B10,,
IFSC Climbing World Championship - Paris (FRA) 2012,2833,51,ANDRZEJ MECHERZYNSKI-WIKTOR,POL,2T2 5B20,,
IFSC Climbing World Championship - Paris (FRA) 2012,1361,51,MARTIN STRANIK,CZE,2T6 4B8,,
IFSC Climbing World Championship - Paris (FRA) 2012,2839,53,PIOTR BUNSCH,POL,2T6 3B5,,
IFSC Climbing World Championship - Paris (FRA) 2012,4796,53,JONATHAN PARTRIDGE,GBR,2T2 4B12,,
IFSC Climbing World Championship - Paris (FRA) 2012,6092,55,SANTIAGO DE ALBA FLORES,MEX,2T2 3B4,,
IFSC Climbing World Championship - Paris (FRA) 2012,3174,55,MANUEL ESCOBAR,VEN,2T7 4B9,,
IFSC Climbing World Championship - Paris (FRA) 2012,6052,55,ANTON JOHANSONN,FIN,2T2 3B4,,
IFSC Climbing World Championship - Paris (FRA) 2012,3138,58,PEDRO FERREIRA NICOLOSO,BRA,2T13 4B14,,
IFSC Climbing World Championship - Paris (FRA) 2012,1571,59,SEBASTIEN LAZURE,CAN,2T3 4B6,,
IFSC Climbing World Championship - Paris (FRA) 2012,5437,59,ETHAN PRINGLE,USA,1T1 5B12,,
IFSC Climbing World Championship - Paris (FRA) 2012,4934,61,SHINTA OZAWA,JPN,1T1 4B7,,
IFSC Climbing World Championship - Paris (FRA) 2012,6158,61,ALEKSANDER ROMANOWSKI,POL,2T3 3B9,,
IFSC Climbing World Championship - Paris (FRA) 2012,4810,63,MATEJ SVUB,SVK,2T3 2B2,,
IFSC Climbing World Championship - Paris (FRA) 2012,6091,63,ADAM WATSON,GBR,1T1 4B9,,
IFSC Climbing World Championship - Paris (FRA) 2012,1736,65,AUSTIN GEIMAN,USA,2T4 5B13,,
IFSC Climbing World Championship - Paris (FRA) 2012,2033,65,JABEE KIM,KOR,1T1 3B3,,
IFSC Climbing World Championship - Paris (FRA) 2012,4908,67,JAMES GARDEN,GBR,2T4 4B7,,
IFSC Climbing World Championship - Paris (FRA) 2012,2846,67,JAKUB GLOWKA,POL,1T1 3B4,,
IFSC Climbing World Championship - Paris (FRA) 2012,310,69,RAPHAEL FERNANDEZ,BEL,2T4 2B2,,
IFSC Climbing World Championship - Paris (FRA) 2012,3896,69,FACUNDO LANGBEHN,CHI,1T1 3B5,,
IFSC Climbing World Championship - Paris (FRA) 2012,5619,71,KHAIRUL HAFIZ ABU HASSAN,MAS,2T5 4B9,,
IFSC Climbing World Championship - Paris (FRA) 2012,311,71,NICOLAS FARCY,BEL,1T1 2B2,,
IFSC Climbing World Championship - Paris (FRA) 2012,4363,73,VILIMANTAS PETRASIUNAS,LTU,2T5 3B7,,
IFSC Climbing World Championship - Paris (FRA) 2012,2422,73,NIKOLA PETROV,BUL,1T1 2B3,,
IFSC Climbing World Championship - Paris (FRA) 2012,2046,73,SUNGBO SEO,KOR,1T1 2B3,,
IFSC Climbing World Championship - Paris (FRA) 2012,2041,76,HANWOOL KIM,KOR,2T5 3B9,,
IFSC Climbing World Championship - Paris (FRA) 2012,2837,77,JAKUB JODLOWSKI,POL,1T1 4B13,,
IFSC Climbing World Championship - Paris (FRA) 2012,6192,77,JAKOB HEBER NORUM,NOR,1T1 2B7,,
IFSC Climbing World Championship - Paris (FRA) 2012,6286,79,LUCAS GAONA,CHI,1T1 3B5,,
IFSC Climbing World Championship - Paris (FRA) 2012,5510,79,BOYKO LALOV,BUL,1T2 4B8,,
IFSC Climbing World Championship - Paris (FRA) 2012,4801,79,ONDREJ SVUB,SVK,1T1 3B5,,
IFSC Climbing World Championship - Paris (FRA) 2012,2416,82,KALIN GARBOV,BUL,1T3 3B3,,
IFSC Climbing World Championship - Paris (FRA) 2012,6152,83,VICTOR DRAGOI,ROU,0T 3B4,,
IFSC Climbing World Championship - Paris (FRA) 2012,1725,83,JOSEPH GIFFORD,USA,1T1 2B5,,
IFSC Climbing World Championship - Paris (FRA) 2012,7436,85,BENJAMIN DE CHARMONY,RSA,0T 3B7,,
IFSC Climbing World Championship - Paris (FRA) 2012,5991,85,NICOLAS MATHIEU,BEL,1T1 2B7,,
IFSC Climbing World Championship - Paris (FRA) 2012,6130,87,SHANE PUCCIO,USA,0T 3B8,,
IFSC Climbing World Championship - Paris (FRA) 2012,1567,87,AYODELE SOPEJU,CAN,1T2 3B8,,
IFSC Climbing World Championship - Paris (FRA) 2012,4899,89,HANS BUSKER,NED,0T 2B3,,
IFSC Climbing World Championship - Paris (FRA) 2012,6333,89,EMILIYAN KOLEVSKI,BUL,1T2 2B3,,
IFSC Climbing World Championship - Paris (FRA) 2012,6103,89,EDUARDO MORA PARIENTE,MEX,1T2 2B3,,
IFSC Climbing World Championship - Paris (FRA) 2012,7437,92,AZIZ FTIS,CRC,0T 2B4,,
IFSC Climbing World Championship - Paris (FRA) 2012,6303,93,"WENG KHIT, ADRIEL CHOO",SGP,0T 1B1,,
IFSC Climbing World Championship - Paris (FRA) 2012,6175,93,DIEGO LOPEZ MONTULL,MEX,0T 1B1,,
IFSC Climbing World Championship - Paris (FRA) 2012,3780,93,ANDRÉ NERES,POR,1T2 1B1,,
IFSC Climbing World Championship - Paris (FRA) 2012,6117,96,DAVID LEANDRO SAIKIN,ARG,1T3 3B6,,
IFSC Climbing World Championship - Paris (FRA) 2012,3278,97,ASPAR ASPAR,INA,0T 1B2,,
IFSC Climbing World Championship - Paris (FRA) 2012,4151,97,JURIJS KRASANOVS,LAT,1T3 2B5,,
IFSC Climbing World Championship - Paris (FRA) 2012,4952,99,ANDRES QUINTEROS,ECU,1T5 1B1,,
IFSC Climbing World Championship - Paris (FRA) 2012,6056,99,MARIÁN ŠELIGA,SVK,0T 1B4,,
IFSC Climbing World Championship - Paris (FRA) 2012,2042,101,SEUNGWOON CHO,KOR,0T 2B2,,
IFSC Climbing World Championship - Paris (FRA) 2012,2481,101,CALLUM HYLAND,AUS,0T 2B2,,
IFSC Climbing World Championship - Paris (FRA) 2012,3036,101,NIKOLA KRAMARIC,CRO,0T 1B5,,
IFSC Climbing World Championship - Paris (FRA) 2012,5805,104,KIRE SERAFIMOVSKI,MKD,0T 1B6,,
IFSC Climbing World Championship - Paris (FRA) 2012,2454,105,GIORGI GABULDANI,GEO,0T 0B,,
IFSC Climbing World Championship - Paris (FRA) 2012,7438,105,ILHAM ISRAFILOV,AZE,0T 0B,,
IFSC Climbing World Championship - Paris (FRA) 2012,2455,105,ALMATSGIR KVITSIANI,GEO,0T 0B,,
IFSC Climbing World Championship - Paris (FRA) 2012,7467,105,SALIH MULAOSMANOVIC,BIH,0T 0B,,
IFSC Climbing World Championship - Paris (FRA) 2012,3187,105,VANCO NAUNOV,MKD,0T 0B,,
IFSC Climbing World Championship - Paris (FRA) 2012,6055,105,JURAJ RAVAS,SVK,0T 2B4,,
IFSC Climbing World Championship - Paris (FRA) 2012,6322,105,GULBALA SAFAROV,AZE,0T 0B,,
IFSC Climbing World Championship - Paris (FRA) 2012,7468,112,PASO SIVRO,BIH,0T 2B12,,
IFSC Climbing World Championship - Paris (FRA) 2012,6165,113,CINGIZ TAGIZADE,AZE,0T 1B5,,
IFSC Climbing World Championship - Paris (FRA) 2012,6155,114,BABEK IBADOV,AZE,0T 0B,,
